refid,refid_value,projid,tstamp,filename,author_entity
4,4,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-11', 'name': 'Sarah Goodwin', 's2_id': None, 'orcid': 'https://orcid.org/0000-0001-8894-8282', 'raw_name': 'S. Goodwin'}"
4,4,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-12', 'name': 'Jason Dykes', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-8096-5763', 'raw_name': 'J. Dykes'}"
4,4,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-13', 'name': 'Aidan Slingsby', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-3941-553X', 'raw_name': 'A. Slingsby'}"
4,4,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-14', 'name': 'Çağatay Turkay', 's2_id': None, 'orcid': 'https://orcid.org/0000-0001-6788-251X', 'raw_name': 'C. Turkay'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-1', 'name': 'Chris Brunsdon', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-4254-1780', 'raw_name': 'C. Brunsdon'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-2', 'name': 'A. Stewart Fotheringham', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-0407-1901', 'raw_name': 'A. S. Fotheringham'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-3', 'name': 'Martin Charlton', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-0622-393X', 'raw_name': 'M. E. Charlton'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-4', 'name': 'Wenbai Yang', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-3293-8389', 'raw_name': 'W. Yang'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-5', 'name': 'Wei Kang', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-1073-7781', 'raw_name': 'W. Kang'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-6', 'name': 'T. Gao', 's2_id': None, 'orcid': None, 'raw_name': 'T. Gao'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-7', 'name': 'J. Hullman', 's2_id': None, 'orcid': None, 'raw_name': 'J. Hullman'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-8', 'name': 'E. Adar', 's2_id': None, 'orcid': None, 'raw_name': 'E. Adar'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-9', 'name': 'B. Hecht', 's2_id': None, 'orcid': None, 'raw_name': 'B. Hecht'}"
5,5,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-10', 'name': 'N. Diakopoulos', 's2_id': None, 'orcid': None, 'raw_name': 'N. Diakopoulos'}"
